experiment,Test/Cosine_Sim,Test/KL_Div,Test/MSE,Test/Cosine_Sim_Norm,Test/MSE_Norm,Test/KL_Div_Norm,score
exp_only_clip_lr5e-06_drop0.5_epochs2,0.7996326088905334,0.3583411946892738,0.023875253740698,0.7996326088905334,0.976124746259302,0.6416588053107262,2.4174161604605615
exp_adamw_only_clip_lr5e-06_drop0.3_epochs2,0.799298495054245,0.3580084815621376,0.0238821627572178,0.799298495054245,0.976117837242782,0.6419915184378624,2.4174078507348895
exp_only_clip_lr1e-05_drop0.3_epochs10_frozen,0.7996769547462463,0.3584575578570365,0.0238950639031827,0.7996769547462463,0.9761049360968173,0.6415424421429634,2.417324332986027
exp_only_clip_lr5e-06_drop0.3_epochs2,0.7990040332078934,0.3591395318508148,0.0240059969946741,0.7990040332078934,0.9759940030053258,0.6408604681491852,2.4158585043624043
exp_adamw_only_clip_lr5e-06_drop0.5_epochs2,0.7977468371391296,0.3612105548381805,0.0241045434959232,0.7977468371391296,0.9758954565040768,0.6387894451618195,2.412431738805026
exp_adamw_only_clip_lr1e-05_drop0.5_epochs2,0.7968617826700211,0.3641075119376182,0.0244186022318899,0.7968617826700211,0.97558139776811,0.6358924880623817,2.408335668500513
exp_only_clip_lr1e-05_drop0.3_epochs5_frozen,0.7970859408378601,0.3659767657518387,0.0243588974699377,0.7970859408378601,0.9756411025300622,0.6340232342481613,2.4067502776160836
exp_adamw_only_clip_lr1e-05_drop0.3_epochs2,0.7968937009572983,0.3661771044135093,0.024586266838014,0.7968937009572983,0.975413733161986,0.6338228955864906,2.406130329705775
exp_adamw_only_clip_lr1e-05_drop0.3_epochs5_frozen,0.7964732795953751,0.3671050295233726,0.0244435099884867,0.7964732795953751,0.9755564900115132,0.6328949704766273,2.4049247400835156
exp_only_clip_lr5e-06_drop0.3_epochs10_frozen,0.7962654531002045,0.3672847971320152,0.0244565801694988,0.7962654531002045,0.9755434198305012,0.6327152028679848,2.4045240757986903
exp_only_clip_lr1e-05_drop0.3_epochs2,0.7959891855716705,0.3669721409678459,0.0246095284819602,0.7959891855716705,0.9753904715180396,0.6330278590321541,2.4044075161218643
exp_only_clip_lr1e-05_drop0.5_epochs2,0.7956197559833527,0.3675124421715736,0.0245892130769788,0.7956197559833527,0.9754107869230212,0.6324875578284264,2.4035181007348
exp_only_clip_lr1e-05_drop0.5_epochs5_frozen,0.7957108616828918,0.3696413785219192,0.0246037575416266,0.7957108616828918,0.9753962424583732,0.6303586214780807,2.401465725619346
exp_adamw_only_clip_lr1e-05_drop0.5_epochs5_frozen,0.7957109063863754,0.369642935693264,0.0246038772165774,0.7957109063863754,0.9753961227834224,0.630357064306736,2.401464093476534
exp_only_clip_lr5e-06_drop0.3_epochs5_frozen,0.7902050465345383,0.3844118416309356,0.0255204527638851,0.7902050465345383,0.9744795472361149,0.6155881583690643,2.3802727521397173
exp_adamw_only_clip_lr5e-06_drop0.3_epochs5_frozen,0.7902049124240875,0.3844142109155655,0.0255206357687711,0.7902049124240875,0.9744793642312288,0.6155857890844345,2.380270065739751
exp_only_clip_lr5e-06_drop0.5_epochs5_frozen,0.7884550392627716,0.3884825333952903,0.0257867774926125,0.7884550392627716,0.9742132225073874,0.6115174666047096,2.3741857283748686
exp_adamw_only_clip_lr5e-06_drop0.5_epochs5_frozen,0.7884550243616104,0.3884849473834037,0.02578696468845,0.7884550243616104,0.97421303531155,0.6115150526165962,2.3741831122897565
exp_only_clip_lr1e-05_drop0.3_epochs2_frozen,0.7878743559122086,0.3892271667718887,0.0258036940358578,0.7878743559122086,0.974196305964142,0.6107728332281113,2.372843495104462
exp_only_clip_lr1e-05_drop0.5_epochs5,0.781158983707428,0.3910601437091827,0.0260722977109252,0.781158983707428,0.9739277022890748,0.6089398562908173,2.36402654228732
exp_only_clip_lr1e-05_drop0.5_epochs2_frozen,0.7850693762302399,0.3953651040792465,0.0262284125201403,0.7850693762302399,0.9737715874798596,0.6046348959207535,2.363475859630853
exp_adamw_only_clip_lr1e-05_drop0.5_epochs2_frozen,0.7850693911314011,0.3953662738204002,0.0262285000644623,0.7850693911314011,0.9737714999355376,0.6046337261795998,2.3634746172465384
exp_adamw_only_clip_lr1e-05_drop0.3_epochs2_frozen,0.7834702491760254,0.3972555041313171,0.026245056465268,0.7834702491760254,0.973754943534732,0.602744495868683,2.35996968857944
exp_adamw_only_clip_lr5e-06_drop0.3_epochs5,0.7813102602958679,0.3965521082282066,0.0262918793596326,0.7813102602958679,0.9737081206403672,0.6034478917717934,2.358466272708029
exp_adamw_only_clip_lr5e-06_drop0.5_epochs5,0.7797214984893799,0.3957053050398826,0.0262747625820338,0.7797214984893799,0.973725237417966,0.6042946949601173,2.3577414308674634
exp_adamw_only_clip_lr1e-05_drop0.5_epochs5,0.7795062959194183,0.3987802863121032,0.02645605802536,0.7795062959194183,0.97354394197464,0.6012197136878967,2.354269951581955
exp_only_clip_lr5e-06_drop0.3_epochs5,0.7774596959352493,0.4027319028973579,0.0267345677129924,0.7774596959352493,0.9732654322870076,0.5972680971026421,2.347993225324899
exp_only_clip_lr5e-06_drop0.5_epochs5,0.7768134325742722,0.4036213159561157,0.0267779505811631,0.7768134325742722,0.9732220494188368,0.5963786840438843,2.3464141660369933
exp_adamw_only_clip_lr1e-05_drop0.3_epochs5,0.7753859907388687,0.4084652066230774,0.0270087048411368,0.7753859907388687,0.9729912951588632,0.5915347933769226,2.3399120792746544
