experiment,Test/Cosine_Sim,Test/KL_Div,Test/MSE,Test/Cosine_Sim_Norm,Test/MSE_Norm,Test/KL_Div_Norm,score
exp_adamw_roberta_large_lr1e-05_drop0.5_bigger_mlp_epochs5_both_frozen,0.8126228352387747,0.3362646450599034,0.0224347682669758,0.8126228352387747,0.977565231733024,0.6637353549400966,2.4539234219118953
exp_adamw_roberta_base_lr5e-06_drop0.3_gelu_epochs2,0.811518594622612,0.336970292031765,0.0223426115699112,0.811518594622612,0.9776573884300888,0.663029707968235,2.452205691020936
exp_adamw_roberta_large_lr1e-05_drop0.5_gelu_epochs5_both_frozen,0.8114222884178162,0.338501863181591,0.0225142259150743,0.8114222884178162,0.9774857740849257,0.661498136818409,2.450406199321151
exp_adamw_roberta_base_lr5e-06_drop0.5_epochs2_frozen_clip,0.8120198607444763,0.3392789423465728,0.0225415602326392,0.8120198607444763,0.9774584397673608,0.6607210576534271,2.450199358165264
exp_adamw_roberta_large_lr1e-05_drop0.3_gelu_epochs5_both_frozen,0.810969889163971,0.3383443057537079,0.0225338796153663,0.810969889163971,0.9774661203846337,0.6616556942462921,2.4500917037948966
exp_adamw_roberta_base_lr1e-05_drop0.3_epochs2_frozen_clip,0.8118914008140564,0.3396047055721283,0.022557608410716,0.8118914008140564,0.977442391589284,0.6603952944278717,2.449729086831212
exp_adamw_roberta_base_lr5e-06_drop0.3_epochs2,0.8103369474411011,0.3384143933653831,0.0225168420001863,0.8103369474411011,0.9774831579998136,0.6615856066346169,2.4494057120755315
exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs2,0.8097011297941208,0.3380068764090538,0.0224336860701441,0.8097011297941208,0.9775663139298558,0.6619931235909462,2.449260567314923
exp_adamw_roberta_large_lr1e-05_drop0.3_bigger_mlp_epochs5_both_frozen,0.810415506362915,0.3387452438473701,0.022566485684365,0.810415506362915,0.977433514315635,0.6612547561526299,2.44910377683118
exp_adamw_roberta_base_lr1e-05_drop0.3_bigger_mlp_epochs2,0.8110690414905548,0.3394702225923538,0.0225251484662293,0.8110690414905548,0.9774748515337708,0.6605297774076462,2.4490736704319715
exp_adamw_roberta_large_lr5e-06_drop0.5_epochs2_frozen_clip,0.8096576780080795,0.3382764905691147,0.0224383599124848,0.8096576780080795,0.9775616400875152,0.6617235094308853,2.44894282752648
exp_adamw_roberta_base_lr5e-06_drop0.5_bigger_mlp_epochs2,0.8094107210636139,0.3382242321968078,0.0224486398510634,0.8094107210636139,0.9775513601489364,0.6617757678031921,2.4487378490157425
