experiment,Test/Cosine_Sim,Test/KL_Div,Test/MSE,Test/Cosine_Sim_Norm,Test/MSE_Norm,Test/KL_Div_Norm,score
exp_only_roberta_large_lr1e-05_drop0.3_epochs10_frozen,0.8028255254030228,0.3478435724973678,0.0231659412384032,0.8028255254030228,0.9768340587615968,0.6521564275026321,2.4318160116672516
exp_only_roberta_large_lr5e-06_drop0.3_epochs2,0.8009932488203049,0.3480797633528709,0.023218996822834,0.8009932488203049,0.976781003177166,0.6519202366471291,2.4296944886446
exp_only_roberta_large_lr5e-06_drop0.3_epochs10_frozen,0.8015073537826538,0.3497621044516563,0.023293059784919,0.8015073537826538,0.976706940215081,0.6502378955483437,2.4284521895460784
exp_only_roberta_large_lr1e-05_drop0.3_epochs5_frozen,0.801471933722496,0.3500159084796905,0.0233213338069617,0.801471933722496,0.9766786661930384,0.6499840915203094,2.4281346914358437
exp_only_roberta_large_lr5e-06_drop0.3_epochs5_frozen,0.8016044050455093,0.3517740666866302,0.0233266940340399,0.8016044050455093,0.97667330596596,0.6482259333133698,2.426503644324839
exp_only_roberta_large_lr1e-05_drop0.3_epochs2_frozen,0.8018536567687988,0.3528869077563286,0.0233381702564656,0.8018536567687988,0.9766618297435344,0.6471130922436714,2.425628578756005
exp_only_roberta_large_lr1e-05_drop0.3_epochs2,0.7946624636650086,0.3527187287807464,0.0237285893410444,0.7946624636650086,0.9762714106589556,0.6472812712192535,2.4182151455432175
exp_only_roberta_large_lr5e-06_drop0.3_epochs2_frozen,0.8000445663928986,0.3689749017357825,0.0242423014715313,0.8000445663928986,0.9757576985284686,0.6310250982642174,2.4068273631855845
exp_only_roberta_large_lr5e-06_drop0.3_epochs5,0.7860521227121353,0.3890698701143265,0.0258733564987778,0.7860521227121353,0.974126643501222,0.6109301298856735,2.371108896099031
exp_only_roberta_large_lr1e-05_drop0.3_epochs5,0.7772913694381713,0.4047860562801361,0.0270264994353055,0.7772913694381713,0.9729735005646944,0.5952139437198639,2.3454788137227296
exp_only_roberta_large_lr5e-06_drop0.3_epochs10,0.7675102154413859,0.4384583433469136,0.0285086246828237,0.7675102154413859,0.9714913753171762,0.5615416566530864,2.3005432474116487
exp_only_roberta_large_lr1e-05_drop0.3_epochs10,0.7597094535827636,0.4495862603187561,0.0289728809148072,0.7597094535827636,0.9710271190851928,0.5504137396812439,2.2811503123492
