experiment,value
exp_adamw_roberta_base_lr1e-05_drop0.3_gelu_epochs2,0.8094831705093384
exp_roberta_base_lr5e-06_drop0.5_epochs2_both_frozen,0.8093778192996979
exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2,0.8091397881507874
exp_roberta_large_lr5e-06_drop0.5_epochs2,0.8090629279613495
exp_adamw_roberta_base_lr1e-05_drop0.5_gelu_epochs2,0.8090498447418213
exp_adamw_roberta_base_lr1e-05_drop0.5_epochs2_frozen_roberta,0.809049665927887
exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_both_frozen,0.8090141117572784
exp_only_roberta_large_lr5e-06_drop0.3_epochs2,0.8088895976543427
exp_adamw_roberta_base_lr5e-06_drop0.3_epochs2_both_frozen,0.808788001537323
exp_roberta_large_lr1e-05_drop0.5_epochs2_frozen_roberta,0.8087485134601593
exp_adamw_roberta_base_lr5e-06_drop0.5_epochs2_frozen_roberta,0.8087303340435028
exp_adamw_roberta_base_lr1e-05_drop0.3_gelu_epochs2_frozen_clip,0.808708518743515
exp_adamw_roberta_base_lr5e-06_drop0.5_epochs2_both_frozen,0.8087074756622314
exp_roberta_base_lr5e-06_drop0.3_epochs2_frozen_roberta,0.8086405992507935
exp_roberta_large_lr5e-06_drop0.3_epochs2_frozen_clip,0.808369368314743
exp_only_roberta_base_lr1e-05_drop0.3_epochs2,0.8083550035953522
exp_adamw_roberta_base_lr1e-05_drop0.3_bigger_mlp_epochs2_frozen_clip,0.8083175718784332
exp_adamw_roberta_large_lr5e-06_drop0.5_epochs5_frozen_roberta,0.8081870079040527
exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs2_frozen_clip,0.8081702291965485
exp_adamw_roberta_base_lr5e-06_drop0.3_epochs2_frozen_roberta,0.8078543692827225
exp_adamw_roberta_base_lr5e-06_drop0.5_bigger_mlp_epochs2,0.8078364133834839
exp_adamw_roberta_base_lr5e-06_drop0.3_bigger_mlp_epochs2,0.8078162968158722
exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2_frozen_clip,0.8076855540275574
exp_adamw_roberta_base_lr1e-05_drop0.5_gelu_epochs2_frozen_clip,0.8076592683792114
exp_adamw_roberta_large_lr1e-05_drop0.3_epochs2_frozen_clip,0.8075565695762634
exp_adamw_roberta_base_lr5e-06_drop0.3_gelu_epochs2_frozen_clip,0.8073607087135315
exp_adamw_roberta_large_lr5e-05_drop0.5_hierarchical_epochs2_frozen_clip,0.807235449552536
exp_roberta_large_lr5e-06_drop0.3_epochs2,0.8070610463619232
exp_roberta_large_lr1e-05_drop0.5_epochs2_frozen_clip,0.8070389926433563
exp_roberta_base_lr1e-05_drop0.3_epochs2_frozen_roberta,0.806793212890625
exp_adamw_roberta_base_lr5e-06_drop0.3_bigger_mlp_epochs2_frozen_clip,0.8067715167999268
exp_roberta_large_lr5e-06_drop0.3_epochs2_frozen_roberta,0.8067370653152466
exp_adamw_roberta_base_lr5e-06_drop0.3_gelu_epochs2_frozen_roberta,0.8067368566989899
exp_roberta_large_lr1e-05_drop0.3_epochs2,0.8067039102315903
exp_adamw_roberta_large_lr1e-05_drop0.5_gelu_epochs5_both_frozen,0.806686133146286
exp_adamw_roberta_large_lr1e-05_drop0.3_gelu_epochs5_both_frozen,0.8066762387752533
exp_roberta_large_lr1e-05_drop0.3_epochs2_frozen_roberta,0.8065775334835052
exp_adamw_roberta_base_lr1e-05_drop0.3_gelu_epochs5_both_frozen,0.806542843580246
exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2,0.8064678311347961
exp_only_roberta_large_lr1e-05_drop0.3_epochs2,0.8063561320304871
exp_adamw_roberta_large_lr1e-05_drop0.3_bigger_mlp_epochs2_frozen_clip,0.806039035320282
exp_adamw_roberta_base_lr5e-06_drop0.5_bigger_mlp_epochs2_frozen_clip,0.8059072196483612
exp_adamw_roberta_base_lr1e-05_drop0.5_gelu_epochs5_both_frozen,0.8058468103408813
exp_adamw_roberta_large_lr1e-05_drop0.3_bigger_mlp_epochs5_both_frozen,0.8056818842887878
exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,0.8054590970277786
exp_adamw_roberta_base_lr1e-05_drop0.3_epochs2_frozen_roberta,0.8053061813116074
exp_adamw_roberta_base_lr1e-05_drop0.3_bigger_mlp_epochs5_both_frozen,0.8052905797958374
exp_adamw_roberta_base_lr1e-05_drop0.3_gelu_epochs2_frozen_roberta,0.805111825466156
exp_adamw_roberta_large_lr5e-06_drop0.3_epochs2_frozen_roberta,0.8050621151924133
exp_adamw_roberta_large_lr1e-05_drop0.5_bigger_mlp_epochs2_frozen_clip,0.8049080967903137
exp_adamw_roberta_large_lr5e-05_drop0.5_hierarchical_epochs2,0.8048770725727081
exp_roberta_large_lr1e-05_drop0.3_epochs5_frozen_roberta,0.8047990947961807
exp_roberta_large_lr1e-05_drop0.3_epochs2_frozen_clip,0.8047947287559509
exp_only_clip_lr1e-05_drop0.5_epochs2,0.8045551478862762
exp_adamw_roberta_large_lr5e-06_drop0.3_gelu_epochs5_both_frozen,0.8045354187488556
exp_adamw_roberta_large_lr5e-06_drop0.5_gelu_epochs2,0.8045112490653992
exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs5_both_frozen,0.8044672310352325
exp_adamw_roberta_base_lr5e-06_drop0.3_gelu_epochs5_both_frozen,0.8043318092823029
exp_adamw_roberta_large_lr5e-05_drop0.5_hierarchical_epochs2_frozen_roberta,0.8041218221187592
exp_adamw_roberta_large_lr5e-06_drop0.5_gelu_epochs5_both_frozen,0.8039649724960327
exp_adamw_roberta_large_lr5e-06_drop0.3_bigger_mlp_epochs5_both_frozen,0.8036028742790222
exp_adamw_roberta_base_lr5e-06_drop0.3_bigger_mlp_epochs5_both_frozen,0.8034637272357941
exp_adamw_roberta_large_lr5e-06_drop0.5_bigger_mlp_epochs5_both_frozen,0.8032484650611877
exp_adamw_roberta_base_lr5e-06_drop0.3_bigger_mlp_epochs2_frozen_roberta,0.8031660616397858
exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs5_both_frozen,0.8030451238155365
exp_adamw_roberta_large_lr1e-05_drop0.5_gelu_epochs5_frozen_roberta,0.8027809262275696
exp_adamw_roberta_base_lr1e-05_drop0.3_bigger_mlp_epochs2_frozen_roberta,0.8027563393115997
exp_adamw_roberta_large_lr5e-05_drop0.5_hierarchical_epochs2_both_frozen,0.8024163544178009
exp_adamw_roberta_large_lr5e-06_drop0.5_gelu_epochs2_frozen_roberta,0.8023482263088226
exp_adamw_roberta_base_lr1e-05_drop0.3_gelu_epochs2_both_frozen,0.8023234903812408
exp_adamw_roberta_large_lr5e-06_drop0.5_gelu_epochs2_both_frozen,0.8023230582475662
exp_adamw_roberta_large_lr5e-06_drop0.5_bigger_mlp_epochs5_frozen_roberta,0.8022359311580658
exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2_frozen_roberta,0.8021669983863831
exp_adamw_roberta_large_lr1e-05_drop0.5_epochs5_both_frozen,0.8021253347396851
exp_adamw_roberta_large_lr5e-06_drop0.5_bigger_mlp_epochs2_both_frozen,0.8020668029785156
exp_adamw_roberta_base_lr5e-06_drop0.5_bigger_mlp_epochs5_both_frozen,0.8019406497478485
exp_adamw_roberta_base_lr5e-06_drop0.3_gelu_epochs2_both_frozen,0.8018006384372711
exp_adamw_roberta_base_lr5e-06_drop0.3_bigger_mlp_epochs2_both_frozen,0.801679402589798
exp_adamw_roberta_base_lr1e-05_drop0.3_bigger_mlp_epochs2_both_frozen,0.8015522062778473
exp_adamw_roberta_large_lr1e-05_drop0.3_gelu_epochs5_frozen_roberta,0.8015072345733643
exp_adamw_roberta_large_lr5e-06_drop0.3_gelu_epochs2_frozen_roberta,0.8013338148593903
exp_adamw_roberta_base_lr1e-05_drop0.5_gelu_epochs2_both_frozen,0.8012271523475647
exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs2_both_frozen,0.8012210726737976
exp_adamw_roberta_base_lr5e-06_drop0.5_bigger_mlp_epochs2_both_frozen,0.8009928166866302
exp_adamw_roberta_large_lr1e-05_drop0.5_gelu_epochs2_both_frozen,0.8009869456291199
exp_adamw_roberta_base_lr5e-06_drop0.5_epochs5_frozen_clip,0.8008974492549896
exp_adamw_roberta_large_lr1e-05_drop0.5_bigger_mlp_epochs2_both_frozen,0.8008192479610443
exp_adamw_roberta_large_lr1e-05_drop0.3_bigger_mlp_epochs2,0.8007659614086151
exp_adamw_roberta_base_lr1e-05_drop0.5_gelu_epochs2_frozen_roberta,0.8007327020168304
exp_adamw_roberta_large_lr5e-06_drop0.3_gelu_epochs2_both_frozen,0.8007281720638275
exp_adamw_roberta_large_lr1e-05_drop0.3_gelu_epochs2_both_frozen,0.8005708903074265
exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs2_frozen_roberta,0.8004406690597534
exp_adamw_roberta_large_lr5e-06_drop0.3_gelu_epochs2,0.8004215955734253
exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2_both_frozen,0.8003791272640228
exp_adamw_roberta_large_lr5e-06_drop0.3_bigger_mlp_epochs2_frozen_roberta,0.8003741502761841
exp_adamw_roberta_large_lr5e-06_drop0.3_bigger_mlp_epochs2_both_frozen,0.8003692328929901
exp_adamw_roberta_large_lr1e-05_drop0.5_bigger_mlp_epochs2,0.8002262711524963
exp_adamw_roberta_large_lr1e-05_drop0.5_gelu_epochs2_frozen_roberta,0.8001528382301331
exp_adamw_roberta_large_lr1e-05_drop0.5_gelu_epochs2,0.799947589635849
exp_adamw_roberta_large_lr1e-05_drop0.3_bigger_mlp_epochs2_both_frozen,0.7998956441879272
exp_adamw_roberta_large_lr5e-06_drop0.5_bigger_mlp_epochs2_frozen_roberta,0.7998932301998138
exp_only_clip_lr1e-05_drop0.3_epochs10_frozen,0.7992719411849976
exp_only_clip_lr5e-06_drop0.5_epochs2,0.799210399389267
exp_adamw_only_clip_lr5e-06_drop0.5_epochs2,0.7990345656871796
exp_adamw_only_clip_lr1e-05_drop0.5_epochs2,0.7990265190601349
exp_adamw_roberta_large_lr5e-06_drop0.3_bigger_mlp_epochs2,0.7989684641361237
exp_adamw_only_clip_lr5e-06_drop0.3_epochs2,0.7989296913146973
exp_adamw_roberta_base_lr1e-05_drop0.3_gelu_epochs5_frozen_roberta,0.798786461353302
exp_adamw_roberta_large_lr1e-05_drop0.3_gelu_epochs2_frozen_roberta,0.7983275055885315
exp_adamw_roberta_large_lr1e-05_drop0.5_bigger_mlp_epochs5_frozen_roberta,0.7981708198785782
exp_only_clip_lr1e-05_drop0.3_epochs5_frozen,0.7981147766113281
exp_adamw_roberta_large_lr1e-05_drop0.3_bigger_mlp_epochs2_frozen_roberta,0.7980501055717468
exp_adamw_roberta_large_lr1e-05_drop0.3_epochs5_frozen_roberta,0.797790139913559
exp_adamw_roberta_large_lr1e-05_drop0.3_gelu_epochs2,0.797710508108139
exp_adamw_roberta_large_lr5e-06_drop0.5_bigger_mlp_epochs2_frozen_clip,0.7976945340633392
exp_adamw_roberta_large_lr1e-05_drop0.5_bigger_mlp_epochs2_frozen_roberta,0.7974477708339691
exp_only_clip_lr5e-06_drop0.3_epochs2,0.7974458038806915
exp_roberta_large_lr5e-06_drop0.5_epochs5_frozen_roberta,0.7972502708435059
exp_adamw_roberta_base_lr5e-06_drop0.5_bigger_mlp_epochs2_frozen_roberta,0.7970626950263977
exp_only_clip_lr5e-06_drop0.3_epochs10_frozen,0.7969791889190674
exp_adamw_roberta_base_lr5e-06_drop0.5_bigger_mlp_epochs5_frozen_clip,0.7969252467155457
exp_adamw_roberta_large_lr5e-06_drop0.5_gelu_epochs2_frozen_clip,0.7968685477972031
exp_only_clip_lr1e-05_drop0.5_epochs5_frozen,0.7964738607406616
exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs5_frozen_roberta,0.79640793800354
exp_roberta_base_lr5e-06_drop0.5_epochs5_frozen_clip,0.7963216602802277
